Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code
121,torbay,47.6666,-52.7314,269.82,74.0,75.0,7.2,CA
122,carnarvon,-24.8667,113.6333,301.15,78.0,0.0,7.2,AU
123,burica,,,,,,,
124,barentsburg,,,,,,,
125,vostok,46.4856,135.8833,257.32,95.0,100.0,1.65,RU
126,manjacaze,-24.7117,33.8828,302.51,74.0,24.0,4.6,MZ
127,kapaa,22.0752,-159.319,292.15,94.0,1.0,3.09,US
128,guajara,-2.9667,-57.6667,297.27,95.0,96.0,0.79,BR
129,mahebourg,-20.4081,57.7,303.15,66.0,75.0,6.69,MU
130,aflu,,,,,,,
131,constitucion,-35.3333,-72.4167,287.8,79.0,0.0,2.55,CL
132,bowen,-20.0167,148.2333,297.15,94.0,90.0,3.09,AU
133,obidos,-1.9175,-55.5181,297.37,95.0,100.0,0.32,BR
134,labuhan,-6.8844,112.2051,299.92,84.0,100.0,4.6,ID
135,suoyarvi,62.0833,32.35,260.4,95.0,77.0,3.58,RU
136,port lincoln,-34.7333,135.8667,292.4,71.0,8.0,4.42,AU
137,bambous virieux,-20.3428,57.7575,303.15,66.0,75.0,6.69,MU
138,cap malheureux,-19.9842,57.6142,302.04,68.0,69.0,2.24,MU
139,kamenskoye,,,,,,,
140,carutapera,-1.195,-46.02,298.76,92.0,100.0,2.8,BR
141,praia,14.9215,-23.5087,299.15,44.0,0.0,9.26,CV
142,richards bay,-28.783,32.0377,298.07,91.0,93.0,8.34,ZA
143,puerto escondido,15.85,-97.0667,293.88,54.0,0.0,3.68,MX
144,lata,40.1629,-8.3327,292.04,56.0,94.0,6.26,PT
145,porto novo,6.4965,2.6036,305.15,70.0,20.0,4.12,BJ
146,pacific grove,36.6177,-121.9166,285.37,100.0,90.0,2.57,US
147,puerto cabezas,14.0351,-83.3888,296.91,89.0,23.0,0.35,NI
148,bethel,41.3712,-73.414,271.48,69.0,90.0,2.57,US
149,murgab,37.4966,61.9714,296.15,25.0,0.0,5.14,TM
150,redlands,34.0556,-117.1825,282.04,61.0,1.0,0.58,US
151,mecca,21.4267,39.8261,304.87,32.0,1.0,4.98,SA
152,poya,-21.35,165.15,298.42,81.0,50.0,2.04,NC
153,khormuj,,,,,,,
154,matara,5.9485,80.5353,299.94,80.0,77.0,0.98,LK
155,necochea,-38.5473,-58.7368,291.48,91.0,100.0,4.92,AR
156,canguaretama,-6.38,-35.1289,302.15,70.0,75.0,6.17,BR
157,shakawe,-18.3667,21.85,302.9,51.0,40.0,4.26,BW
158,port alfred,-33.5906,26.891,296.48,69.0,84.0,5.36,ZA
159,meulaboh,4.1363,96.1285,301.03,75.0,38.0,0.76,ID
160,mindelo,16.8901,-24.9804,297.15,60.0,75.0,12.86,CV
161,puerto ayora,-0.7393,-90.3518,297.04,96.0,100.0,0.45,EC
162,tuktoyaktuk,69.4541,-133.0374,243.68,88.0,77.0,2.29,CA
163,hervey bay,-25.2986,152.8535,296.48,80.0,32.0,0.45,AU
164,bayan,46.0833,127.4,250.87,89.0,68.0,3.5,CN
165,auki,-8.7676,160.7034,299.46,86.0,70.0,2.66,SB
166,caronport,50.4501,-105.8179,243.15,69.0,37.0,4.12,CA
167,barra do garcas,-15.89,-52.2567,297.06,87.0,100.0,1.27,BR
168,karaul,,,,,,,
169,gola gokarannath,28.0833,80.4667,296.37,36.0,0.0,3.72,IN
170,komsomolskiy,40.4272,71.7189,289.15,29.0,0.0,1.03,UZ
171,atbasar,51.8,68.3333,271.58,98.0,100.0,1.19,KZ
172,norrtalje,59.758,18.705,271.15,50.0,0.0,4.63,SE
173,ndola,-12.9587,28.6366,299.8,56.0,28.0,4.66,ZM
174,klaksvik,62.2266,-6.5889999999999995,280.15,100.0,75.0,6.69,FO
175,kaseda,31.4167,130.3167,285.15,58.0,40.0,9.77,JP
176,namatanai,-3.6667,152.4333,300.6,82.0,100.0,3.65,PG
177,gympie,-26.1898,152.665,292.59,93.0,23.0,0.45,AU
178,buchanan,5.8808,-10.0467,303.5,65.0,24.0,2.78,LR
179,xinmin,41.9908,122.8253,261.15,61.0,0.0,2.0,CN
180,ryotsu,38.0833,138.4333,283.15,100.0,75.0,9.26,JP
181,goderich,43.7501,-81.7165,264.15,86.0,100.0,3.6,CA
182,junnar,19.2,73.8833,302.24,24.0,0.0,4.24,IN
183,newburyport,42.8126,-70.8773,271.48,74.0,97.0,2.68,US
184,san pedro,14.35,121.0167,300.15,74.0,75.0,3.09,PH
185,adrar,20.5022,-10.0711,299.39,16.0,0.0,11.13,MR
186,taonan,45.3333,122.7833,259.81,65.0,81.0,2.05,CN
187,bengkulu,-3.8004,102.2655,299.76,83.0,71.0,1.18,ID
188,ransang,8.9603,117.5828,298.48,73.0,76.0,2.02,PH
189,tual,-5.6667,132.75,301.29,77.0,100.0,7.96,ID
190,ust-kamchatsk,,,,,,,
191,buala,-8.145,159.5921,300.12,82.0,82.0,2.41,SB
192,jujuy,,,,,,,
193,arkhangelsk,64.5401,40.5433,255.15,78.0,40.0,2.0,RU
194,ongandjera,-17.8833,15.0667,302.8,29.0,98.0,2.87,
195,karratha,-20.7377,116.8463,301.21,72.0,50.0,6.08,AU
196,longyearbyen,78.2186,15.6401,268.15,80.0,75.0,2.06,SJ
197,aginskoye,51.1,114.53,250.0,84.0,87.0,4.24,RU
198,nekrasovskaya,45.1447,39.7487,267.59,86.0,90.0,5.0,RU
199,berlevag,70.8578,29.0864,272.15,64.0,20.0,6.17,NO
200,vardo,70.3705,31.1107,272.15,69.0,75.0,7.2,NO
201,port blair,11.6667,92.75,300.15,83.0,75.0,2.06,IN
202,tucuman,-26.8241,-65.2226,297.15,78.0,75.0,2.06,AR
203,chuy,-33.6971,-53.4616,295.93,84.0,72.0,1.8,UY
204,cape town,-33.9258,18.4232,297.59,37.0,20.0,8.75,ZA
205,bluff,-46.6,168.3333,282.59,78.0,56.0,2.24,NZ
206,waipawa,-41.4122,175.5153,288.15,100.0,75.0,9.77,NZ
207,bezenchuk,52.982,49.4333,255.79,92.0,3.0,3.43,RU
208,la ronge,55.1001,-105.2842,240.15,68.0,0.0,0.51,CA
209,mongo,12.1844,18.692999999999998,310.61,9.0,42.0,3.16,TD
210,grand haven,43.0631,-86.2284,260.37,66.0,90.0,5.14,US
211,belaya gora,68.5333,146.4167,239.84,85.0,1.0,1.59,RU
212,arinos,-15.9169,-46.1056,298.24,80.0,98.0,0.93,BR
213,safwah,,,,,,,
214,lake charles,30.2131,-93.2044,271.15,86.0,90.0,6.17,US
215,stornoway,58.2093,-6.3865,282.15,87.0,75.0,8.75,GB
216,thompson,55.7435,-97.8558,245.15,83.0,20.0,2.06,CA
217,lavrentiya,65.5833,-171.0,247.3,84.0,0.0,5.01,RU
218,moranbah,-22.0016,148.0466,298.47,73.0,19.0,6.3,AU
219,raahe,64.6833,24.4833,269.15,93.0,90.0,4.63,FI
220,half moon bay,37.4636,-122.4286,285.15,100.0,90.0,3.6,US
221,naryan-mar,67.6713,53.086999999999996,246.87,88.0,100.0,3.98,RU
222,kuching,1.55,110.3333,300.15,74.0,20.0,2.06,MY
223,karaton,-6.3424,106.1045,303.71,78.0,40.0,2.57,ID
224,manicore,-5.8092,-61.3003,297.25,95.0,100.0,0.48,BR
225,te anau,-45.4167,167.7167,281.8,87.0,72.0,2.95,NZ
226,wasilla,61.5814,-149.4394,265.93,79.0,90.0,0.93,US
227,esil,51.9556,66.4042,268.67,96.0,100.0,1.53,KZ
228,san cristobal,7.7669,-72.225,296.15,100.0,75.0,1.03,VE
229,acapulco,16.8634,-99.8901,292.11,72.0,2.0,2.03,MX
230,victoria,22.2855,114.1577,294.82,73.0,58.0,5.25,HK
231,nsoko,-27.0333,31.95,304.15,70.0,82.0,3.6,SZ
232,tahta,26.7693,31.5021,295.15,35.0,0.0,4.12,EG
233,nauen,52.607,12.8737,274.82,47.0,100.0,1.34,DE
234,selfoss,63.9331,-20.9971,277.59,98.0,81.0,4.92,IS
235,pevek,69.7008,170.3133,245.08,86.0,33.0,0.73,RU
236,ruatoria,,,,,,,
237,tuatapere,-46.1333,167.6833,282.59,78.0,84.0,2.24,NZ
238,faanui,-16.4833,-151.75,300.59,76.0,90.0,4.9,PF
239,shimoda,34.6667,138.95,282.59,78.0,0.0,1.34,JP
240,ahipara,-35.1667,173.1667,293.73,88.0,100.0,10.68,NZ
241,saint george,37.1041,-113.5841,276.48,60.0,90.0,1.54,US
242,camacha,33.0833,-16.3333,290.15,72.0,40.0,5.14,PT
243,ancud,-41.8697,-73.8203,282.15,76.0,0.0,2.06,CL
244,severnyy,50.677,36.5532,264.15,62.0,40.0,4.0,RU
245,doctor pedro p. pena,,,,,,,
246,storm lake,42.6411,-95.2097,244.15,76.0,1.0,4.63,US
247,porto santo,33.071999999999996,-16.3415,290.15,72.0,40.0,5.14,PT
248,mayo,38.8876,-76.5119,275.37,80.0,90.0,3.09,US
249,aqtobe,50.2797,57.2072,265.15,79.0,75.0,4.0,KZ
250,ellisras,-23.6649,27.7443,305.64,39.0,53.0,2.96,ZA
251,iquique,-20.2208,-70.1431,294.15,56.0,0.0,1.03,CL
252,saleaula,,,,,,,
253,warqla,,,,,,,
